from,to,Δs²,relation,cost
mask_ev_0,mask_ev_1,-0.9897386467837903,timelike-irreversible,0.9948560935048799
mask_ev_0,mask_ev_2,-3.959059882504989,timelike-irreversible,1.9897386467837903
mask_ev_0,mask_ev_3,-8.908278512800099,timelike-irreversible,2.984673937434389
mask_ev_0,mask_ev_4,-15.83791562324046,timelike-irreversible,3.9796878801283477
mask_ev_0,mask_ev_5,-24.748693232289163,timelike-irreversible,4.9748058487029585
mask_ev_0,mask_ev_6,-35.64152688241455,timelike-irreversible,5.970052502483923
mask_ev_0,mask_ev_7,-48.517516245385586,timelike-irreversible,6.965451618192864
mask_ev_0,mask_ev_8,-63.37793383815137,timelike-irreversible,7.961025928745074
mask_ev_0,mask_ev_9,-80.22421196509532,timelike-irreversible,8.956796970183891
mask_ev_0,mask_ev_10,-99.05792802065393,timelike-irreversible,9.952784937928374
mask_ev_0,mask_ev_11,-119.88078830311527,timelike-irreversible,10.94900855343146
mask_ev_0,mask_ev_12,-142.69461050568964,timelike-irreversible,11.945484942257039
mask_ev_0,mask_ev_13,-167.50130506451745,timelike-irreversible,12.942229524487558
mask_ev_0,mask_ev_14,-194.30285555500916,timelike-irreversible,13.939255918269424
mask_ev_0,mask_ev_15,-223.10129833767743,timelike-irreversible,14.936575857192887
mask_ev_0,mask_ev_16,-253.8987016623226,timelike-irreversible,15.93419912208714
mask_ev_0,mask_ev_17,-286.69714444499084,timelike-irreversible,16.932133487691114
mask_ev_0,mask_ev_18,-321.49869493548255,timelike-irreversible,17.9303846845371
mask_ev_0,mask_ev_19,-358.30538949431036,timelike-irreversible,18.928956376258846
mask_ev_0,mask_ev_20,-397.11921169688475,timelike-irreversible,19.927850152409434
mask_ev_0,mask_ev_21,-437.9420719793461,timelike-irreversible,20.927065536748007
mask_ev_0,mask_ev_22,-480.7757880349047,timelike-irreversible,21.926600010829418
mask_ev_0,mask_ev_23,-525.6220661618487,timelike-irreversible,22.9264490526084
mask_ev_0,mask_ev_24,-572.4824837546143,timelike-irreversible,23.926606189650347
mask_ev_0,mask_ev_25,-621.3584731175854,timelike-irreversible,24.927063066426125
mask_ev_0,mask_ev_26,-672.2513067677108,timelike-irreversible,25.927809525058432
mask_ev_0,mask_ev_27,-725.1620843767596,timelike-irreversible,26.928833698783905
mask_ev_0,mask_ev_28,-780.0917214871998,timelike-irreversible,27.930122117298374
mask_ev_0,mask_ev_29,-837.040940117495,timelike-irreversible,28.93165982306399
mask_ev_0,mask_ev_30,-896.0102613532162,timelike-irreversible,29.933430497576055
mask_ev_0,mask_ev_31,-957.0,timelike-irreversible,30.93541659651604
mask_ev_0,mask_ev_32,-1020.0102613532162,timelike-irreversible,31.937599492654677
mask_ev_0,mask_ev_33,-1085.040940117495,timelike-irreversible,32.93995962531671
mask_ev_0,mask_ev_34,-1152.0917214872,timelike-irreversible,33.94247665517648
mask_ev_0,mask_ev_35,-1221.1620843767594,timelike-irreversible,34.94512962312144
mask_ev_0,mask_ev_36,-1292.2513067677107,timelike-irreversible,35.94789711189948
mask_ev_0,mask_ev_37,-1365.3584731175854,timelike-irreversible,36.95075740925462
mask_ev_0,mask_ev_38,-1440.4824837546143,timelike-irreversible,37.95368867125585
mask_ev_0,mask_ev_39,-1517.6220661618486,timelike-irreversible,38.95666908453351
mask_ev_0,mask_ev_40,-1596.7757880349047,timelike-irreversible,39.959677026158566
mask_ev_0,mask_ev_41,-1677.942071979346,timelike-irreversible,40.96269121993019
mask_ev_0,mask_ev_42,-1761.1192116968848,timelike-irreversible,41.9656908878775
mask_ev_0,mask_ev_43,-1846.3053894943105,timelike-irreversible,42.96865589583075
