from,to,Δs²,relation,cost
ev_0,ev_1,-0.9968536300356331,timelike-irreversible,0.9984255756117394
ev_0,ev_2,-3.987424419786485,timelike-irreversible,1.996853630035633
ev_0,ev_3,-8.97174203703647,timelike-irreversible,2.9952866368740856
ev_0,ev_4,-15.949855824363649,timelike-irreversible,3.993727059322363
ev_0,ev_5,-24.9218346438902,timelike-irreversible,4.992177344995889
ev_0,ev_6,-35.88776666061674,timelike-irreversible,5.990639920794501
ev_0,ev_7,-48.84775906502258,timelike-irreversible,6.9891171878158245
ev_0,ev_8,-63.80193773580484,timelike-irreversible,7.9876115163298245
ev_0,ev_9,-80.75044684381751,timelike-irreversible,8.98612524082641
ev_0,ev_10,-99.69344839845657,timelike-irreversible,9.984660655147804
ev_0,ev_11,-120.63112173791852,timelike-irreversible,10.98322000771716
ev_0,ev_12,-143.56366296493607,timelike-irreversible,11.98180549687467
ev_0,ev_13,-168.49128432976633,timelike-irreversible,12.98041926633213
ev_0,ev_14,-195.4142135623731,timelike-irreversible,13.979063400756615
ev_0,ev_15,-224.332693155904,timelike-irreversible,14.97773992149363
ev_0,ev_16,-255.24697960371745,timelike-irreversible,15.976450782439679
ev_0,ev_17,-288.1573425923596,timelike-irreversible,16.97519786607389
ev_0,ev_18,-323.0640641530307,timelike-irreversible,17.973982979657865
ev_0,ev_19,-359.9674377742105,timelike-irreversible,18.97280785161254
ev_0,ev_20,-398.8677674782351,timelike-irreversible,19.971674128080377
ev_0,ev_21,-439.7653668647302,timelike-irreversible,20.970583369680735
ev_0,ev_22,-482.66055812391033,timelike-irreversible,21.969537048465778
ev_0,ev_23,-527.5536710228497,timelike-irreversible,22.968536545083793
ev_0,ev_24,-574.4450418679126,timelike-irreversible,23.967583146156237
ev_0,ev_25,-623.3350124466094,timelike-irreversible,24.96667804187432
ev_0,ev_26,-674.2239289522066,timelike-irreversible,25.965822323820337
ev_0,ev_27,-727.1121408944745,timelike-irreversible,26.96501698301847
ev_0,ev_28,-782.0,timelike-irreversible,27.964262908219126
ev_0,ev_29,-838.8878591055256,timelike-irreversible,28.96356088442037
ev_0,ev_30,-897.7760710477934,timelike-irreversible,29.962911591629297
ev_0,ev_31,-958.6649875533906,timelike-irreversible,30.962315603865783
ev_0,ev_32,-1021.5549581320873,timelike-irreversible,31.961773388410215
ev_0,ev_33,-1086.4463289771502,timelike-irreversible,32.96128530529643
ev_0,ev_34,-1153.3394418760897,timelike-irreversible,33.96085160705028
ev_0,ev_35,-1222.2346331352699,timelike-irreversible,34.96047243867379
ev_0,ev_36,-1293.1322325217648,timelike-irreversible,35.960147837874146
ev_0,ev_37,-1366.0325622257894,timelike-irreversible,36.95987773553627
ev_0,ev_38,-1440.9359358469694,timelike-irreversible,37.95966195643699
ev_0,ev_39,-1517.8426574076404,timelike-irreversible,38.959500220198414
ev_0,ev_40,-1596.7530203962826,timelike-irreversible,39.95939214247738
ev_0,ev_41,-1677.667306844096,timelike-irreversible,40.95933723638721
ev_0,ev_42,-1760.585786437627,timelike-irreversible,41.95933491414785
ev_0,ev_43,-1845.5087156702336,timelike-irreversible,42.95938448895926
ev_0,ev_44,-1932.4363370350638,timelike-irreversible,43.95948517709305
ev_0,ev_45,-2021.3688782620814,timelike-irreversible,44.95963610019638
ev_0,ev_46,-2112.3065516015436,timelike-irreversible,45.95983628780181
ev_0,ev_47,-2205.249553156182,timelike-irreversible,46.960084680036324
ev_0,ev_48,-2300.198062264195,timelike-irreversible,47.96038013052227
ev_0,ev_49,-2397.1522409349773,timelike-irreversible,48.96072140946227
ev_0,ev_50,-2496.1122333393832,timelike-irreversible,49.96110720690028
ev_0,ev_51,-2597.07816535611,timelike-irreversible,50.96153613614988
ev_0,ev_52,-2700.0501441756364,timelike-irreversible,51.962006737381074
ev_0,ev_53,-2805.0282579629634,timelike-irreversible,52.96251748135622
ev_0,ev_54,-2912.0125755802133,timelike-irreversible,53.963066773305364
ev_0,ev_55,-3021.0031463699647,timelike-irreversible,54.963652956931135
ev_0,ev_56,-3132.0,timelike-irreversible,55.96427431853289
ev_0,ev_57,-3245.0031463699647,timelike-irreversible,56.96492909123968
ev_0,ev_58,-3360.0125755802133,timelike-irreversible,57.96561545934118
ev_0,ev_59,-3477.0282579629634,timelike-irreversible,58.966331562705875
ev_0,ev_60,-3596.0501441756364,timelike-irreversible,59.96707550127517
ev_0,ev_61,-3717.07816535611,timelike-irreversible,60.96784533962234
ev_0,ev_62,-3840.1122333393832,timelike-irreversible,61.968639111565
ev_0,ev_63,-3965.1522409349773,timelike-irreversible,62.96945482481945
ev_0,ev_64,-4092.198062264195,timelike-irreversible,63.97029046568567
ev_0,ev_65,-4221.249553156183,timelike-irreversible,64.97114400375125
ev_0,ev_66,-4352.306551601543,timelike-irreversible,65.97201339660283
ev_0,ev_67,-4485.368878262081,timelike-irreversible,66.97289659453354
ev_0,ev_68,-4620.436337035064,timelike-irreversible,67.97379154523502
ev_0,ev_69,-4757.508715670234,timelike-irreversible,68.97469619846277
ev_0,ev_70,-4896.585786437627,timelike-irreversible,69.97560851066339
ev_0,ev_71,-5037.667306844096,timelike-irreversible,70.97652644955299
ev_0,ev_72,-5180.753020396282,timelike-irreversible,71.97744799863554
ev_0,ev_73,-5325.842657407641,timelike-irreversible,72.97837116165064
ev_0,ev_74,-5472.935935846969,timelike-irreversible,73.9792939669403
ev_0,ev_75,-5622.03256222579,timelike-irreversible,74.98021447172441
ev_0,ev_76,-5773.132232521764,timelike-irreversible,75.98113076627489
ev_0,ev_77,-5926.23463313527,timelike-irreversible,76.98204097797921
ev_0,ev_78,-6081.33944187609,timelike-irreversible,77.98294327528353
ev_0,ev_79,-6238.446328977151,timelike-irreversible,78.98383587150697
ev_0,ev_80,-6397.554958132087,timelike-irreversible,79.98471702851793
ev_0,ev_81,-6558.66498755339,timelike-irreversible,80.98558506026484
ev_0,ev_82,-6721.776071047793,timelike-irreversible,81.98643833615284
ev_0,ev_83,-6886.887859105526,timelike-irreversible,82.98727528425985
ev_0,ev_84,-7054.0,timelike-irreversible,83.98809439438426
ev_0,ev_85,-7223.112140894475,timelike-irreversible,84.98889422091851
ev_0,ev_86,-7394.223928952207,timelike-irreversible,85.98967338554209
ev_0,ev_87,-7567.33501244661,timelike-irreversible,86.99043057972877
ev_0,ev_88,-7742.4450418679135,timelike-irreversible,87.99116456706271
ev_0,ev_89,-7919.55367102285,timelike-irreversible,88.99187418535948
ev_0,ev_90,-8098.660558123911,timelike-irreversible,89.99255834858742
ev_0,ev_91,-8279.76536686473,timelike-irreversible,90.99321604858645
ev_0,ev_92,-8462.867767478236,timelike-irreversible,91.99384635658102
ev_0,ev_93,-8647.96743777421,timelike-irreversible,92.99444842448506
ev_0,ev_94,-8835.06406415303,timelike-irreversible,93.99502148599696
ev_0,ev_95,-9024.15734259236,timelike-irreversible,94.99556485748353
ev_0,ev_96,-9215.246979603719,timelike-irreversible,95.99607793865184
ev_0,ev_97,-9408.332693155904,timelike-irreversible,96.99656021300912
ev_0,ev_98,-9603.414213562373,timelike-irreversible,97.9970112481109
ev_0,ev_99,-9800.491284329766,timelike-irreversible,98.99743069559818
ev_0,ev_100,-9999.563662964936,timelike-irreversible,99.99781829102541
ev_0,ev_101,-10200.631121737919,timelike-irreversible,100.99817385348074
ev_0,ev_102,-10403.693448398457,timelike-irreversible,101.99849728500149
ev_0,ev_103,-10608.750446843818,timelike-irreversible,102.99878856978765
ev_0,ev_104,-10815.801937735805,timelike-irreversible,103.99904777321667
ev_0,ev_105,-11024.847759065022,timelike-irreversible,104.99927504066407
ev_0,ev_106,-11235.887766660617,timelike-irreversible,105.99947059613372
ev_0,ev_107,-11448.92183464389,timelike-irreversible,106.99963474070316
ev_0,ev_108,-11663.949855824365,timelike-irreversible,107.99976785078923
ev_0,ev_109,-11880.971742037036,timelike-irreversible,108.9998703762396
ev_0,ev_110,-12099.987424419787,timelike-irreversible,109.99994283825691
ev_0,ev_111,-12320.996853630035,timelike-irreversible,110.99998582716141
ev_1,ev_2,-0.9968536300356332,timelike-irreversible,0.9984255756117394
ev_1,ev_3,-3.987424419786485,timelike-irreversible,1.996853630035633
ev_1,ev_4,-8.97174203703647,timelike-irreversible,2.9952866368740856
ev_1,ev_5,-15.949855824363647,timelike-irreversible,3.993727059322363
ev_1,ev_6,-24.921834643890197,timelike-irreversible,4.992177344995889
ev_1,ev_7,-35.88776666061674,timelike-irreversible,5.990639920794501
ev_1,ev_8,-48.84775906502257,timelike-irreversible,6.989117187815824
ev_1,ev_9,-63.80193773580484,timelike-irreversible,7.9876115163298245
ev_1,ev_10,-80.7504468438175,timelike-irreversible,8.986125240826409
ev_1,ev_11,-99.69344839845657,timelike-irreversible,9.984660655147804
ev_1,ev_12,-120.63112173791852,timelike-irreversible,10.98322000771716
ev_1,ev_13,-143.56366296493604,timelike-irreversible,11.981805496874669
ev_1,ev_14,-168.49128432976633,timelike-irreversible,12.98041926633213
ev_1,ev_15,-195.4142135623731,timelike-irreversible,13.979063400756615
ev_1,ev_16,-224.332693155904,timelike-irreversible,14.97773992149363
ev_1,ev_17,-255.24697960371745,timelike-irreversible,15.976450782439679
ev_1,ev_18,-288.1573425923596,timelike-irreversible,16.97519786607389
ev_1,ev_19,-323.06406415303064,timelike-irreversible,17.973982979657865
ev_1,ev_20,-359.96743777421045,timelike-irreversible,18.97280785161254
ev_1,ev_21,-398.8677674782351,timelike-irreversible,19.971674128080377
ev_1,ev_22,-439.7653668647302,timelike-irreversible,20.970583369680735
