from,to,Δs²,relation,cost
mask_ev_0,mask_ev_1,0.14378198881318052,spacelike,0.0
mask_ev_0,mask_ev_2,0.574055427305451,spacelike,0.0
mask_ev_0,mask_ev_3,1.2825160667867235,spacelike,0.0
mask_ev_0,mask_ev_4,2.2407680040698357,spacelike,0.0
mask_ev_0,mask_ev_5,3.3859689522523726,spacelike,0.0
mask_ev_0,mask_ev_6,4.612709356990189,spacelike,0.0
mask_ev_0,mask_ev_7,5.777258592967758,spacelike,0.0
mask_ev_0,mask_ev_8,6.716173989423436,spacelike,0.0
mask_ev_0,mask_ev_9,7.276039983458521,spacelike,0.0
mask_ev_0,mask_ev_10,7.346667325469998,spacelike,0.0
mask_ev_0,mask_ev_11,6.888073583284609,spacelike,0.0
mask_ev_0,mask_ev_12,5.9427875703099975,spacelike,0.0
mask_ev_0,mask_ev_13,4.629141159990094,spacelike,0.0
mask_ev_0,mask_ev_14,3.116876996523815,spacelike,0.0
mask_ev_0,mask_ev_15,1.5917029739730406,spacelike,0.0
mask_ev_0,mask_ev_16,0.21857594903000166,spacelike,0.0
mask_ev_0,mask_ev_17,-0.8865423488569473,timelike-irreversible,0.9415637784329574
mask_ev_0,mask_ev_18,-1.669874178043044,timelike-irreversible,1.2922361154382909
mask_ev_0,mask_ev_19,-2.136506749667814,timelike-irreversible,1.4616794278048157
mask_ev_0,mask_ev_20,-2.334398612843378,timelike-irreversible,1.5278738864328358
mask_ev_0,mask_ev_21,-2.3331552300356497,timelike-irreversible,1.5274669325506363
mask_ev_0,mask_ev_22,-2.205755148723376,timelike-irreversible,1.4851784905267704
mask_ev_0,mask_ev_23,-2.0191289530640804,timelike-irreversible,1.4209605740709628
mask_ev_0,mask_ev_24,-1.8351455536141124,timelike-irreversible,1.354675442168386
mask_ev_0,mask_ev_25,-1.7188315763118274,timelike-irreversible,1.3110421718281329
mask_ev_0,mask_ev_26,-1.7473471765288107,timelike-irreversible,1.3218726022309453
mask_ev_0,mask_ev_27,-2.012633252811219,timelike-irreversible,1.4186730605785178
mask_ev_0,mask_ev_28,-2.6129948512025756,timelike-irreversible,1.6164760595822554
mask_ev_0,mask_ev_29,-3.633353714110174,timelike-irreversible,1.906135806838058
mask_ev_0,mask_ev_30,-5.118845595705429,timelike-irreversible,2.2624865956962994
mask_ev_0,mask_ev_31,-7.049999999999997,timelike-irreversible,2.6551836094703503
mask_ev_0,mask_ev_32,-9.328527775601152,timelike-irreversible,3.0542638680377885
mask_ev_0,mask_ev_33,-11.780334407850521,timelike-irreversible,3.432249176247337
mask_ev_0,mask_ev_34,-14.177490161624547,timelike-irreversible,3.765300806260311
mask_ev_0,mask_ev_35,-16.275134403710258,timelike-irreversible,4.0342452086741405
mask_ev_0,mask_ev_36,-17.854614927665658,timelike-irreversible,4.225472154406613
mask_ev_0,mask_ev_37,-18.76215659546458,timelike-irreversible,4.331530514202178
mask_ev_0,mask_ev_38,-18.933696587962046,timelike-irreversible,4.351286773813241
mask_ev_0,mask_ev_39,-18.400743981668533,timelike-irreversible,4.289608837839242
mask_ev_0,mask_ev_40,-17.27776523144749,timelike-irreversible,4.156653128593663
mask_ev_0,mask_ev_41,-15.736744984150986,timelike-irreversible,3.966956640064394
mask_ev_0,mask_ev_42,-13.977517293563867,timelike-irreversible,3.7386518015942416
mask_ev_0,mask_ev_43,-12.202311281359497,timelike-irreversible,3.493180682609976
mask_ev_0,mask_ev_44,-10.599929728730194,timelike-irreversible,3.2557533273775814
mask_ev_0,mask_ev_45,-9.340321316315201,timelike-irreversible,3.056193926490137
mask_ev_0,mask_ev_46,-8.575818273635146,timelike-irreversible,2.928449807258978
mask_ev_0,mask_ev_47,-8.442691248692098,timelike-irreversible,2.905630955350679
mask_ev_0,mask_ev_48,-9.056901970934435,timelike-irreversible,3.009468719049001
mask_ev_0,mask_ev_49,-10.500914390697039,timelike-irreversible,3.2405114396800143
mask_ev_0,mask_ev_50,-12.803016961381676,timelike-irreversible,3.5781303723287774
mask_ev_0,mask_ev_51,-15.915045097435875,timelike-irreversible,3.9893665032729038
mask_ev_0,mask_ev_52,-19.696922428645326,timelike-irreversible,4.438121497733622
mask_ev_0,mask_ev_53,-23.91597009926558,timelike-irreversible,4.890395699661284
mask_ev_0,mask_ev_54,-28.265441039181013,timelike-irreversible,5.3165252787117465
mask_ev_0,mask_ev_55,-32.401292441380185,timelike-irreversible,5.692213316573808
mask_ev_0,mask_ev_56,-35.990615662162554,timelike-irreversible,5.999217920876233
mask_ev_0,mask_ev_57,-38.76129879888446,timelike-irreversible,6.2258572742140865
mask_ev_0,mask_ev_58,-40.541733146829216,timelike-irreversible,6.367239052118997
mask_ev_0,mask_ev_59,-41.281979243635256,timelike-irreversible,6.425105387745423
mask_ev_0,mask_ev_60,-41.052925266434926,timelike-irreversible,6.407255673565316
mask_ev_0,mask_ev_61,-40.025900191082535,timelike-irreversible,6.326602578879326
mask_ev_1,mask_ev_2,0.144670488150398,spacelike,0.0
mask_ev_1,mask_ev_3,0.5749987673028583,spacelike,0.0
mask_ev_1,mask_ev_4,1.268441501074212,spacelike,0.0
mask_ev_1,mask_ev_5,2.1683600949821615,spacelike,0.0
mask_ev_1,mask_ev_6,3.1758173954755406,spacelike,0.0
mask_ev_1,mask_ev_7,4.153640097997455,spacelike,0.0
mask_ev_1,mask_ev_8,4.9447441415987345,spacelike,0.0
mask_ev_1,mask_ev_9,5.401504750982923,spacelike,0.0
mask_ev_1,mask_ev_10,5.4185273917805254,spacelike,0.0
mask_ev_1,mask_ev_11,4.959177085094701,spacelike,0.0
mask_ev_1,mask_ev_12,4.067451558327344,spacelike,0.0
mask_ev_1,mask_ev_13,2.8609071977082055,spacelike,0.0
mask_ev_1,mask_ev_14,1.5060100412128694,spacelike,0.0
mask_ev_1,mask_ev_15,0.18258020376147588,spacelike,0.0
mask_ev_1,mask_ev_16,-0.9528605083166308,timelike-irreversible,0.976145741329967
mask_ev_1,mask_ev_17,-1.795080977469472,timelike-irreversible,1.3398063208798023
mask_ev_1,mask_ev_18,-2.302891784650392,timelike-irreversible,1.517528182489667
mask_ev_1,mask_ev_19,-2.495220092988599,timelike-irreversible,1.579626567574944
mask_ev_1,mask_ev_20,-2.434375142563103,timelike-irreversible,1.5602484233490201
mask_ev_1,mask_ev_21,-2.203994897549256,timelike-irreversible,1.484585766316401
mask_ev_1,mask_ev_22,-1.8899119457153373,timelike-irreversible,1.3747406830800264
mask_ev_1,mask_ev_23,-1.5699030357840529,timelike-irreversible,1.2529577150822182
mask_ev_1,mask_ev_24,-1.3139394910934512,timelike-irreversible,1.1462719969943658
mask_ev_1,mask_ev_25,-1.191822209588733,timelike-irreversible,1.0917061003716766
mask_ev_1,mask_ev_26,-1.2817728580813275,timelike-irreversible,1.1321540787725528
mask_ev_1,mask_ev_27,-1.67293062796216,timelike-irreversible,1.2934181953112305
mask_ev_1,mask_ev_28,-2.4570367146673906,timelike-irreversible,1.5674937686215504
mask_ev_1,mask_ev_29,-3.7090380712323374,timelike-irreversible,1.925886307971563
mask_ev_1,mask_ev_30,-5.461265670692374,timelike-irreversible,2.3369351019427933
mask_ev_1,mask_ev_31,-7.67938693246419,timelike-irreversible,2.771170679056812
mask_ev_1,mask_ev_32,-10.249104975150395,timelike-irreversible,3.2014223362671776
mask_ev_1,mask_ev_33,-12.980159076660092,timelike-irreversible,3.602798783815173
mask_ev_1,mask_ev_34,-15.629288325009897,timelike-irreversible,3.9533894729725145
mask_ev_1,mask_ev_35,-17.938066360763465,timelike-irreversible,4.235335448434216
mask_ev_1,mask_ev_36,-19.676843810630686,timelike-irreversible,4.4358588582855845
mask_ev_1,mask_ev_37,-20.68403871706872,timelike-irreversible,4.547970835116329
mask_ev_1,mask_ev_38,-20.891372593297355,timelike-irreversible,4.570708106332908
mask_ev_1,mask_ev_39,-20.32988741657211,timelike-irreversible,4.508867642387844
mask_ev_1,mask_ev_40,-19.11724144494884,timelike-irreversible,4.372326777008878
mask_ev_1,mask_ev_41,-17.431948183488068,timelike-irreversible,4.175158462081178
mask_ev_1,mask_ev_42,-15.483185413593523,timelike-irreversible,3.934867902940774
mask_ev_1,mask_ev_43,-13.484664088466793,timelike-irreversible,3.6721470679245396
mask_ev_1,mask_ev_44,-11.638031132791111,timelike-irreversible,3.4114558670443196
mask_ev_1,mask_ev_45,-10.126627375577371,timelike-irreversible,3.182236222466423
mask_ev_1,mask_ev_46,-9.115932724917679,timelike-irreversible,3.01926029433
mask_ev_1,mask_ev_47,-8.754405625407298,timelike-irreversible,2.9587844844475066
mask_ev_1,mask_ev_48,-9.168643129019772,timelike-irreversible,3.0279767385202567
mask_ev_1,mask_ev_49,-10.44975516151322,timelike-irreversible,3.2326081051549105
